Task ID,Task Name,Task Content,Status,Priority,Tags,Parent ID,Time Estimated,Branch
PERF-11-02,Add hideEdgesOnMove:true to Sigma constructor in GraphCanvas,"Commit on perf/11-canvas-render-quick-wins

Parent: Canvas render quick wins (2 lines, zero risk)",to do,2,"performance,commit",PERF-11,,perf/11-canvas-render-quick-wins
PERF-02,Gate dependency fetch by format (BIGGEST WIN - 53% of network time),"BRANCH: perf/02-gate-dependency-fetch
TIER: Tier 1 - Request volume

MEASURED: 10,376 of 10,420 dependency calls return nothing - 99.6% waste, 2,376s of network time, 53% of the entire build. Only conda/maven/rpm/ruby ever returned data. WARNING: npm returned empty across 1,822 calls and python across 17, but both formats CAN carry dependency metadata - an allowlist built from this one workspace risks silently dropping edges elsewhere. Gate on a DENYLIST, log when a gated format is skipped, and make the set overridable by env var. Also dedupe by node_id: 2,930 calls are exact duplicates.

FILES
backend/cloudsmith.py, backend/main.py

ACCEPTANCE CRITERIA
packages.dependencies drops 10,420 -> under 200 on the language repository; wall 342.5s -> ~222s; no dependency edge present on main is missing after the change.

Full spec: docs/performance-design.md

Create with:
  git checkout main && git pull && git checkout -b perf/02-gate-dependency-fetch",to do,1,"performance,Tier 1 - Request volume",,6,perf/02-gate-dependency-fetch
PERF-02-01,Add DEPENDENCY_FORMATS denylist constant with env override,"Commit on perf/02-gate-dependency-fetch

Parent: Gate dependency fetch by format (BIGGEST WIN - 53% of network time)",to do,1,"performance,commit",PERF-02,,perf/02-gate-dependency-fetch
PERF-02-02,Gate the dependency submission loop on package format,"Commit on perf/02-gate-dependency-fetch

Parent: Gate dependency fetch by format (BIGGEST WIN - 53% of network time)",to do,1,"performance,commit",PERF-02,,perf/02-gate-dependency-fetch
PERF-02-03,"Dedupe by node_id before submitting (removes 2,930 dup calls)","Commit on perf/02-gate-dependency-fetch

Parent: Gate dependency fetch by format (BIGGEST WIN - 53% of network time)",to do,1,"performance,commit",PERF-02,,perf/02-gate-dependency-fetch
PERF-02-04,Add WARNING log when a gated format is skipped,"Commit on perf/02-gate-dependency-fetch

Parent: Gate dependency fetch by format (BIGGEST WIN - 53% of network time)",to do,1,"performance,commit",PERF-02,,perf/02-gate-dependency-fetch
PERF-02-05,Verify edge set identical to main on a multi-format repo,"Commit on perf/02-gate-dependency-fetch

Parent: Gate dependency fetch by format (BIGGEST WIN - 53% of network time)",to do,1,"performance,commit",PERF-02,,perf/02-gate-dependency-fetch
PERF-02-06,Re-run baseline and record new numbers in design doc section 8,"Commit on perf/02-gate-dependency-fetch

Parent: Gate dependency fetch by format (BIGGEST WIN - 53% of network time)",to do,1,"performance,commit",PERF-02,,perf/02-gate-dependency-fetch
PERF-01,Skip scan calls for unscannable packages (27% of network time),"BRANCH: perf/01-skip-unscannable-packages
TIER: Tier 1 - Request volume

MEASURED: 74.8% of packages (5,603 of 7,490) are 'Security Scanning Not Supported' - removing those scan calls saves ~1,210s, 27% of the build. Behaviour-neutrality is EVIDENCED: those packages produced zero detail fetches, proving their scan lists return empty, so substituting (None, 0, []) is byte-identical. Zero packages were in 'awaiting' state, so skip 'not supported' ONLY - do not chase the awaiting case, the data says it is worth nothing and it would render pending packages green.

FILES
backend/main.py

ACCEPTANCE CRITERIA
CRITICAL: total_nodes and total_edges UNCHANGED from main - unscannable packages must still appear as grey nodes. vulns.scans drops 7,490 -> 1,887. Graph JSON byte-identical.

Full spec: docs/performance-design.md

Create with:
  git checkout main && git pull && git checkout -b perf/01-skip-unscannable-packages",to do,1,"performance,Tier 1 - Request volume",,5,perf/01-skip-unscannable-packages
PERF-01-01,Add scannable flag to pkg_metas (do NOT filter the list itself),"Commit on perf/01-skip-unscannable-packages

Parent: Skip scan calls for unscannable packages (27% of network time)",to do,1,"performance,commit",PERF-01,,perf/01-skip-unscannable-packages
PERF-01-02,"Submit only scannable metas to the executor; seed (None,0,[]) for the rest","Commit on perf/01-skip-unscannable-packages

Parent: Skip scan calls for unscannable packages (27% of network time)",to do,1,"performance,commit",PERF-01,,perf/01-skip-unscannable-packages
PERF-01-03,Verify node count unchanged and unsupported packages still render grey,"Commit on perf/01-skip-unscannable-packages

Parent: Skip scan calls for unscannable packages (27% of network time)",to do,1,"performance,commit",PERF-01,,perf/01-skip-unscannable-packages
PERF-01-04,Diff graph JSON against main on a mixed-format repo,"Commit on perf/01-skip-unscannable-packages

Parent: Skip scan calls for unscannable packages (27% of network time)",to do,1,"performance,commit",PERF-01,,perf/01-skip-unscannable-packages
PERF-01-05,Re-run baseline and record new numbers,"Commit on perf/01-skip-unscannable-packages

Parent: Skip scan calls for unscannable packages (27% of network time)",to do,1,"performance,commit",PERF-01,,perf/01-skip-unscannable-packages
PERF-13,Parallelise package pagination (36% of wall time),"BRANCH: perf/13-parallel-package-pagination
TIER: Tier 1 - Request volume

ADDED AFTER BASELINING - not in the original plan. fetch_all_packages walks pages in a while loop: 105 sequential calls at a 1,169ms mean = 122.8s, 36% of total wall time, with all 20 workers idle throughout. Package-list pages are ~5x slower per call than any other endpoint because each returns 100 full records. Relative importance GROWS as other branches land - once perf/01 and perf/02 are in, pagination is 76% of what remains.

FILES
backend/cloudsmith.py

ACCEPTANCE CRITERIA
packages.list wall contribution drops ~123s -> under 20s; package set identical to main (same count, same slugs, no boundary duplicates); total_nodes unchanged.

Full spec: docs/performance-design.md

Create with:
  git checkout main && git pull && git checkout -b perf/13-parallel-package-pagination",to do,2,"performance,Tier 1 - Request volume",,6,perf/13-parallel-package-pagination
PERF-13-01,Confirm pagination count header name against a live response,"Commit on perf/13-parallel-package-pagination

Parent: Parallelise package pagination (36% of wall time)",to do,2,"performance,commit",PERF-13,,perf/13-parallel-package-pagination
PERF-13-02,Fetch pages 2..N via ThreadPoolExecutor when total is known,"Commit on perf/13-parallel-package-pagination

Parent: Parallelise package pagination (36% of wall time)",to do,2,"performance,commit",PERF-13,,perf/13-parallel-package-pagination
PERF-13-03,Add speculative batching fallback if no count header exists,"Commit on perf/13-parallel-package-pagination

Parent: Parallelise package pagination (36% of wall time)",to do,2,"performance,commit",PERF-13,,perf/13-parallel-package-pagination
PERF-13-04,"Apply to fetch_repos, fetch_org_members, fetch_org_services","Commit on perf/13-parallel-package-pagination

Parent: Parallelise package pagination (36% of wall time)",to do,2,"performance,commit",PERF-13,,perf/13-parallel-package-pagination
PERF-13-05,Verify no duplicates from boundary over-fetch,"Commit on perf/13-parallel-package-pagination

Parent: Parallelise package pagination (36% of wall time)",to do,2,"performance,commit",PERF-13,,perf/13-parallel-package-pagination
PERF-03,Short-circuit scan detail fetches (HIGHEST CORRECTNESS RISK),"BRANCH: perf/03-short-circuit-scan-details
TIER: Tier 1 - Request volume

7.4% of network time (~331s) but hits 100% of post-perf/01 scan traffic - among SCANNABLE packages the details:scans ratio is exactly 1.0 (1,887 = 1,887). RISK: if Cloudsmith does not reliably populate num_vulnerabilities, early return would MASK REAL VULNERABILITIES - a false negative in a security tool. Validate, do not assume. Run with the short-circuit disabled behind an env flag for one cycle first.

FILES
backend/cloudsmith.py

ACCEPTANCE CRITERIA
STRICTER THAN OTHER BRANCHES: graph JSON byte-identical to main for all max_severity, vuln_count and cves fields. Verify a package where the list reports num_vulnerabilities>0 but embeds no vuln array still triggers the detail fetch.

Full spec: docs/performance-design.md

Create with:
  git checkout main && git pull && git checkout -b perf/03-short-circuit-scan-details",to do,2,"performance,Tier 1 - Request volume",,6,perf/03-short-circuit-scan-details
PERF-03-01,Early-return when api_count==0 and max_severity is absent/None/Unknown,"Commit on perf/03-short-circuit-scan-details

Parent: Short-circuit scan detail fetches (HIGHEST CORRECTNESS RISK)",to do,2,"performance,commit",PERF-03,,perf/03-short-circuit-scan-details
PERF-03-02,Cap the historical-scan fallback loop at one additional scan,"Commit on perf/03-short-circuit-scan-details

Parent: Short-circuit scan detail fetches (HIGHEST CORRECTNESS RISK)",to do,2,"performance,commit",PERF-03,,perf/03-short-circuit-scan-details
PERF-03-03,Add env flag to disable short-circuit for shadow validation,"Commit on perf/03-short-circuit-scan-details

Parent: Short-circuit scan detail fetches (HIGHEST CORRECTNESS RISK)",to do,2,"performance,commit",PERF-03,,perf/03-short-circuit-scan-details
PERF-03-04,Add WARNING when a skipped detail fetch would have returned vulns,"Commit on perf/03-short-circuit-scan-details

Parent: Short-circuit scan detail fetches (HIGHEST CORRECTNESS RISK)",to do,2,"performance,commit",PERF-03,,perf/03-short-circuit-scan-details
PERF-03-05,Byte-diff graph JSON against main on a known-vulnerable repo,"Commit on perf/03-short-circuit-scan-details

Parent: Short-circuit scan detail fetches (HIGHEST CORRECTNESS RISK)",to do,2,"performance,commit",PERF-03,,perf/03-short-circuit-scan-details
PERF-04,Collapse shared-CVE cliques,"BRANCH: perf/04-collapse-cve-cliques
TIER: Tier 1 - Request volume

Each CVE affecting k packages emits k(k-1)/2 edges - 300 packages sharing one CVE produces 44,850 edges. Edges are modest on the language repository (7,653 for 7,544 nodes) so this matters most on CVE-dense container repos. THREE OPTIONS - decide before starting: (A) CVE hub nodes, (B) client-derived cliques, (C) cap clique size. RECOMMEND C: lowest risk, no design debate. A is arguably the better long-term model but is a product decision, not a performance one. Apply the same fix to shared_upstream in _build_org_graph.

FILES
backend/main.py, frontend/src/types/index.ts, frontend/src/components/GraphCanvas.tsx, frontend/src/components/FilterBar.tsx, frontend/src/components/Legend.tsx

ACCEPTANCE CRITERIA
Edge count drops by the expected factor on the worst-case repo; all eight shared_cve call sites in GraphCanvas still behave correctly (filter toggle, search highlighting, hide-edges).

Full spec: docs/performance-design.md

Create with:
  git checkout main && git pull && git checkout -b perf/04-collapse-cve-cliques",to do,3,"performance,Tier 1 - Request volume",,8,perf/04-collapse-cve-cliques
PERF-04-01,Decide between hub nodes / client-derived / capped clique,"Commit on perf/04-collapse-cve-cliques

Parent: Collapse shared-CVE cliques",to do,3,"performance,commit",PERF-04,,perf/04-collapse-cve-cliques
PERF-04-02,Implement chosen approach for shared_cve edges,"Commit on perf/04-collapse-cve-cliques

Parent: Collapse shared-CVE cliques",to do,3,"performance,commit",PERF-04,,perf/04-collapse-cve-cliques
PERF-04-03,Apply the same fix to shared_upstream in _build_org_graph,"Commit on perf/04-collapse-cve-cliques

Parent: Collapse shared-CVE cliques",to do,3,"performance,commit",PERF-04,,perf/04-collapse-cve-cliques
PERF-04-04,Verify all 8 shared_cve call sites in GraphCanvas,"Commit on perf/04-collapse-cve-cliques

Parent: Collapse shared-CVE cliques",to do,3,"performance,commit",PERF-04,,perf/04-collapse-cve-cliques
PERF-12,Async HTTP client (largest remaining lever),"BRANCH: perf/12-async-http-client
TIER: Tier 4 - Concurrency

PROMOTED after measurement. Was 'only if data justifies it' - IT DOES. Zero 429s, 34,050 of 50,000 rate-limit budget unused, and the parallel phases run at exactly 19.8x against MAX_WORKERS=20, meaning the pool is saturated and concurrency is the binding constraint. Converting to httpx.AsyncClient with an asyncio.Semaphore allows 100+ concurrent requests at a fraction of the memory. Projected ~35s -> ~17s. CAUTION: this workspace may not be representative - re-check X-RateLimit-Remaining on any account with a smaller quota before raising worker counts in anger.

FILES
backend/cloudsmith.py, backend/main.py, backend/requirements.txt

ACCEPTANCE CRITERIA
Wall time drops per projection; zero 429s at the new concurrency, or the semaphore is sized down until true.

Full spec: docs/performance-design.md

Create with:
  git checkout main && git pull && git checkout -b perf/12-async-http-client",to do,2,"performance,Tier 4 - Concurrency",,16,perf/12-async-http-client
PERF-12-01,Convert cloudsmith.py from requests to httpx.AsyncClient,"Commit on perf/12-async-http-client

Parent: Async HTTP client (largest remaining lever)",to do,2,"performance,commit",PERF-12,,perf/12-async-http-client
PERF-12-02,Add asyncio.Semaphore concurrency control,"Commit on perf/12-async-http-client

Parent: Async HTTP client (largest remaining lever)",to do,2,"performance,commit",PERF-12,,perf/12-async-http-client
PERF-12-03,Convert FastAPI endpoints from def to async def,"Commit on perf/12-async-http-client

Parent: Async HTTP client (largest remaining lever)",to do,2,"performance,commit",PERF-12,,perf/12-async-http-client
PERF-12-04,Tune concurrency against observed rate-limit headroom,"Commit on perf/12-async-http-client

Parent: Async HTTP client (largest remaining lever)",to do,2,"performance,commit",PERF-12,,perf/12-async-http-client
PERF-12-05,Re-run full baseline,"Commit on perf/12-async-http-client

Parent: Async HTTP client (largest remaining lever)",to do,2,"performance,commit",PERF-12,,perf/12-async-http-client
PERF-05,Persistent scan cache (warm loads),"BRANCH: perf/05-persistent-scan-cache
TIER: Tier 2 - Caching

CACHE_TTL is 300s - SHORTER THAN THE BUILD IT CACHES, so a six-minute build is already stale on arrival. Cache is also in-process, lost on restart, and unbounded. Scan results are IMMUTABLE once produced (keyed on slug_perm + scan identifier) so TTL can be effectively infinite; only new packages cost network. Prefer stdlib SQLite over adding diskcache.

FILES
backend/cache.py (new), backend/main.py, backend/cloudsmith.py

ACCEPTANCE CRITERIA
Second load of an unchanged 5k-package repo under 5s; cache survives restart; adding one package fetches exactly one scan.

Full spec: docs/performance-design.md

Create with:
  git checkout main && git pull && git checkout -b perf/05-persistent-scan-cache",to do,2,"performance,Tier 2 - Caching",,12,perf/05-persistent-scan-cache
PERF-05-01,Add cache.py wrapping SQLite,"Commit on perf/05-persistent-scan-cache

Parent: Persistent scan cache (warm loads)",to do,2,"performance,commit",PERF-05,,perf/05-persistent-scan-cache
PERF-05-02,"Key scan results on (owner, repo, slug_perm, scan_identifier)","Commit on perf/05-persistent-scan-cache

Parent: Persistent scan cache (warm loads)",to do,2,"performance,commit",PERF-05,,perf/05-persistent-scan-cache
PERF-05-03,Keep package list on a short TTL; raise/remove graph-level TTL,"Commit on perf/05-persistent-scan-cache

Parent: Persistent scan cache (warm loads)",to do,2,"performance,commit",PERF-05,,perf/05-persistent-scan-cache
PERF-05-04,Add cache hit/miss counters to the perf stats block,"Commit on perf/05-persistent-scan-cache

Parent: Persistent scan cache (warm loads)",to do,2,"performance,commit",PERF-05,,perf/05-persistent-scan-cache
PERF-05-05,Add eviction or remove the unbounded in-memory _cache,"Commit on perf/05-persistent-scan-cache

Parent: Persistent scan cache (warm loads)",to do,2,"performance,commit",PERF-05,,perf/05-persistent-scan-cache
PERF-06,In-flight request coalescing,"BRANCH: perf/06-inflight-coalescing
TIER: Tier 2 - Caching

Two tabs, or a second click on Go, launches two complete concurrent builds at 20 workers each. Keep dict[cache_key, Future] guarded by a lock so concurrent callers await the same build.

FILES
backend/main.py

ACCEPTANCE CRITERIA
Two simultaneous requests for the same repo produce one set of upstream API calls, verified via the Tier 0 counter.

Full spec: docs/performance-design.md

Create with:
  git checkout main && git pull && git checkout -b perf/06-inflight-coalescing",to do,3,"performance,Tier 2 - Caching",,3,perf/06-inflight-coalescing
PERF-06-01,Add Future registry keyed by cache key,"Commit on perf/06-inflight-coalescing

Parent: In-flight request coalescing",to do,3,"performance,commit",PERF-06,,perf/06-inflight-coalescing
PERF-06-02,"Apply to /api/graph, /api/workspace-overview, /api/org-graph","Commit on perf/06-inflight-coalescing

Parent: In-flight request coalescing",to do,3,"performance,commit",PERF-06,,perf/06-inflight-coalescing
PERF-08,Compression and payload slimming,"BRANCH: perf/08-compression-payload-slim
TIER: Tier 2 - Transport

Only CORS middleware is registered - no compression on highly repetitive JSON. MEASURED: payload tracks CVE volume, NOT package count. the container repository (214 packages) serialised to 25.2 MB (~117 KB/node) while the language repository (7,490 packages) was only 4.2 MB. Benefit is concentrated on CVE-dense container repos.

FILES
backend/main.py, backend/models.py, frontend/src/components/SidePanel.tsx

ACCEPTANCE CRITERIA
Transfer size recorded before/after on the container repository; SidePanel still shows full descriptions on click.

Full spec: docs/performance-design.md

Create with:
  git checkout main && git pull && git checkout -b perf/08-compression-payload-slim",to do,3,"performance,Tier 2 - Transport",,5,perf/08-compression-payload-slim
PERF-08-01,Register GZipMiddleware with minimum_size=1000,"Commit on perf/08-compression-payload-slim

Parent: Compression and payload slimming",to do,3,"performance,commit",PERF-08,,perf/08-compression-payload-slim
PERF-08-02,Drop description from CVERecord in the graph payload,"Commit on perf/08-compression-payload-slim

Parent: Compression and payload slimming",to do,3,"performance,commit",PERF-08,,perf/08-compression-payload-slim
PERF-08-03,Add lazy /api/cve endpoint for on-click detail,"Commit on perf/08-compression-payload-slim

Parent: Compression and payload slimming",to do,3,"performance,commit",PERF-08,,perf/08-compression-payload-slim
PERF-08-04,Update SidePanel to fetch descriptions on demand,"Commit on perf/08-compression-payload-slim

Parent: Compression and payload slimming",to do,3,"performance,commit",PERF-08,,perf/08-compression-payload-slim
PERF-07,Rate-limit resilience and partial results,"BRANCH: perf/07-rate-limit-resilience
TIER: Tier 2 - Resilience

DEMOTED after measurement - the throttling collapse this defends against was NEVER OBSERVED (zero 429s across all builds). Still worth doing for the partial-failure guarantee: today a single exhausted retry raises RuntimeError through fut.result() and returns HTTP 500, discarding an entire multi-minute build. A security graph that quietly omits packages is worse than one that says so.

FILES
backend/cloudsmith.py, backend/main.py, backend/models.py

ACCEPTANCE CRITERIA
A forced 429 storm yields a partial graph with an accurate failed_count, not a 500.

Full spec: docs/performance-design.md

Create with:
  git checkout main && git pull && git checkout -b perf/07-rate-limit-resilience",to do,3,"performance,Tier 2 - Resilience",,6,perf/07-rate-limit-resilience
PERF-07-01,Wrap fut.result() call sites to isolate per-package failure,"Commit on perf/07-rate-limit-resilience

Parent: Rate-limit resilience and partial results",to do,3,"performance,commit",PERF-07,,perf/07-rate-limit-resilience
PERF-07-02,Add partial/failed_count to GraphResponse and surface in UI,"Commit on perf/07-rate-limit-resilience

Parent: Rate-limit resilience and partial results",to do,3,"performance,commit",PERF-07,,perf/07-rate-limit-resilience
PERF-07-03,Add token bucket seeded from X-RateLimit headers,"Commit on perf/07-rate-limit-resilience

Parent: Rate-limit resilience and partial results",to do,3,"performance,commit",PERF-07,,perf/07-rate-limit-resilience
PERF-07-04,Raise MAX_RETRIES and add jitter now failure is non-fatal,"Commit on perf/07-rate-limit-resilience

Parent: Rate-limit resilience and partial results",to do,3,"performance,commit",PERF-07,,perf/07-rate-limit-resilience
PERF-10,Move ForceAtlas2 to a web worker,"BRANCH: perf/10-fa2-worker-layout
TIER: Tier 3 - Frontend

forceAtlas2.assign runs up to 800 iterations SYNCHRONOUSLY on the main thread - the tab is frozen for the duration, tens of seconds on a 10k-node graph. FA2LayoutSupervisor is already present in node_modules (verified), so no dependency change is needed. Independent of all backend work - can be done in parallel by a second person.

FILES
frontend/src/components/GraphCanvas.tsx, frontend/src/components/OrgGraphCanvas.tsx, frontend/src/components/WorkspaceOverviewCanvas.tsx

ACCEPTANCE CRITERIA
Main thread never blocks >50ms during layout; no supervisor leaks across layout switches.

Full spec: docs/performance-design.md

Create with:
  git checkout main && git pull && git checkout -b perf/10-fa2-worker-layout",to do,3,"performance,Tier 3 - Frontend",,6,perf/10-fa2-worker-layout
PERF-10-01,Replace forceAtlas2.assign with FA2LayoutSupervisor,"Commit on perf/10-fa2-worker-layout

Parent: Move ForceAtlas2 to a web worker",to do,3,"performance,commit",PERF-10,,perf/10-fa2-worker-layout
PERF-10-02,Stop supervisor on unmount and on layout switch,"Commit on perf/10-fa2-worker-layout

Parent: Move ForceAtlas2 to a web worker",to do,3,"performance,commit",PERF-10,,perf/10-fa2-worker-layout
PERF-10-03,Preserve radial pre-placement and repo re-anchoring,"Commit on perf/10-fa2-worker-layout

Parent: Move ForceAtlas2 to a web worker",to do,3,"performance,commit",PERF-10,,perf/10-fa2-worker-layout
PERF-09,Stream the graph response (largest UX gain),"BRANCH: perf/09-stream-graph-response
TIER: Tier 2 - UX

Everything is one blocking request, so the user stares at a spinner for the entire build. Convert /api/graph to NDJSON over StreamingResponse: emit repo + package nodes immediately (available from the package-list call alone), then vulnerability data as futures resolve. THIS DOES NOT MAKE THE LOAD FASTER - it makes it FEEL dramatically faster. First paint ~2s instead of a multi-minute spinner. Optional: use vulnerability_policy_violated:true to scan highest-risk packages first. Strictly a SCHEDULING optimisation - never use it to decide what to skip, since it reflects only the configured policy threshold and returns nothing where no policy exists.

FILES
backend/main.py, frontend/src/hooks/useGraphData.ts, frontend/src/components/LoadingIndicator.tsx, frontend/src/components/GraphCanvas.tsx

ACCEPTANCE CRITERIA
First nodes painted within 3s on a 5k-package repo; progress indicator monotonic; abort on navigation cancels the backend build.

Full spec: docs/performance-design.md

Create with:
  git checkout main && git pull && git checkout -b perf/09-stream-graph-response",to do,3,"performance,Tier 2 - UX",,12,perf/09-stream-graph-response
PERF-09-01,Convert /api/graph to NDJSON over StreamingResponse,"Commit on perf/09-stream-graph-response

Parent: Stream the graph response (largest UX gain)",to do,3,"performance,commit",PERF-09,,perf/09-stream-graph-response
PERF-09-02,Rewrite useGraphData to read the stream incrementally,"Commit on perf/09-stream-graph-response

Parent: Stream the graph response (largest UX gain)",to do,3,"performance,commit",PERF-09,,perf/09-stream-graph-response
PERF-09-03,Turn LoadingIndicator into a real progress bar,"Commit on perf/09-stream-graph-response

Parent: Stream the graph response (largest UX gain)",to do,3,"performance,commit",PERF-09,,perf/09-stream-graph-response
PERF-09-04,Defer or stream-integrate the layout run,"Commit on perf/09-stream-graph-response

Parent: Stream the graph response (largest UX gain)",to do,3,"performance,commit",PERF-09,,perf/09-stream-graph-response
PERF-09-05,Optional: risk-first ordering via vulnerability_policy_violated,"Commit on perf/09-stream-graph-response

Parent: Stream the graph response (largest UX gain)",to do,3,"performance,commit",PERF-09,,perf/09-stream-graph-response
